"X","Number.of.Homicide.Convictions","Percentage.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Percentage.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Percentage.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Percentage.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Percentage.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Percentage.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Percentage.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Percentage.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Percentage.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Percentage.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Percentage.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Percentage.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Percentage.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Percentage.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Percentage.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Percentage.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Percentage.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Percentage.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Percentage.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Percentage.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Percentage.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Percentage.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Percentage.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Percentage.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful","Percentage.of.L.Motoring.Offences.Unsuccessful","year","month"
"National",81,"85.3%",14,"14.7%","7,805","74.1%","2,722","25.9%","698","72.2%",269,"27.8%","1,470","86.7%",226,"13.3%",517,"81.7%",116,"18.3%","10,045","92.3%","840","7.7%","666","86.0%",108,"14.0%","2,259","85.2%",391,"14.8%","4,536","94.2%",279,"5.8%","3,549","84.4%",654,"15.6%","2,640","83.7%",513,"16.3%","8,283","86.3%","1,314","13.7%","718","100.0%","2014","april"
"Avon and Somerset",1,"100.0%",0,"0.0%","167","78.8%","45","21.2%","36","81.8%",8,"18.2%","37","94.9%",2,"5.1%",9,"75.0%",3,"25.0%","266","92.7%","21","7.3%","11","100.0%",0,"0.0%","54","90.0%",6,"10.0%","135","98.5%",2,"1.5%","68","86.1%",11,"13.9%","66","80.5%",16,"19.5%","188","83.6%","37","16.4%","24","100.0%","2014","april"
"Bedfordshire",0,"-",0,"-","69","75.0%","23","25.0%","5","83.3%",1,"16.7%","16","94.1%",1,"5.9%",4,"100.0%",0,"0.0%","98","91.6%","9","8.4%","8","80.0%",2,"20.0%","20","76.9%",6,"23.1%","45","95.7%",2,"4.3%","29","82.9%",6,"17.1%","11","64.7%",6,"35.3%","40","88.9%","5","11.1%","16","100.0%","2014","april"
"Cambridgeshire",0,"-",0,"-","99","81.1%","23","18.9%","6","66.7%",3,"33.3%","8","100.0%",0,"0.0%",6,"85.7%",1,"14.3%","107","91.5%","10","8.5%","7","100.0%",0,"0.0%","21","95.5%",1,"4.5%","40","95.2%",2,"4.8%","45","83.3%",9,"16.7%","6","75.0%",2,"25.0%","79","92.9%","6","7.1%","4","100.0%","2014","april"
"Cheshire",1,"50.0%",1,"50.0%","140","74.9%","47","25.1%","17","85.0%",3,"15.0%","26","89.7%",3,"10.3%",1,"100.0%",0,"0.0%","206","98.1%","4","1.9%","16","88.9%",2,"11.1%","35","79.5%",9,"20.5%","75","88.2%",10,"11.8%","86","92.5%",7,"7.5%","50","89.3%",6,"10.7%","209","94.6%","12","5.4%","1","100.0%","2014","april"
"Cleveland",0,"-",0,"-","85","67.5%","41","32.5%","11","73.3%",4,"26.7%","25","71.4%",10,"28.6%",5,"71.4%",2,"28.6%","254","88.8%","32","11.2%","6","75.0%",2,"25.0%","32","80.0%",8,"20.0%","63","90.0%",7,"10.0%","74","73.3%",27,"26.7%","28","84.8%",5,"15.2%","124","87.9%","17","12.1%","10","100.0%","2014","april"
"Cumbria",0,"-",0,"-","77","80.2%","19","19.8%","8","88.9%",1,"11.1%","12","92.3%",1,"7.7%",1,"100.0%",0,"0.0%","108","94.7%","6","5.3%","5","100.0%",0,"0.0%","37","94.9%",2,"5.1%","42","95.5%",2,"4.5%","40","95.2%",2,"4.8%","64","98.5%",1,"1.5%","95","90.5%","10","9.5%","12","100.0%","2014","april"
"Derbyshire",0,"-",0,"-","151","72.6%","57","27.4%","8","57.1%",6,"42.9%","31","91.2%",3,"8.8%",8,"72.7%",3,"27.3%","203","93.1%","15","6.9%","11","55.0%",9,"45.0%","40","85.1%",7,"14.9%","75","89.3%",9,"10.7%","50","92.6%",4,"7.4%","46","75.4%",15,"24.6%","258","95.2%","13","4.8%","16","100.0%","2014","april"
"Devon and Cornwall",1,"100.0%",0,"0.0%","157","75.8%","50","24.2%","11","73.3%",4,"26.7%","16","94.1%",1,"5.9%",6,"100.0%",0,"0.0%","151","93.8%","10","6.2%","8","100.0%",0,"0.0%","56","90.3%",6,"9.7%","70","92.1%",6,"7.9%","65","76.5%",20,"23.5%","64","82.1%",14,"17.9%","189","91.7%","17","8.3%","15","100.0%","2014","april"
"Dorset",0,"-",0,"-","73","82.0%","16","18.0%","1","100.0%",0,"0.0%","18","94.7%",1,"5.3%",3,"100.0%",0,"0.0%","123","91.8%","11","8.2%","7","77.8%",2,"22.2%","24","85.7%",4,"14.3%","29","93.5%",2,"6.5%","45","93.8%",3,"6.3%","25","96.2%",1,"3.8%","71","91.0%","7","9.0%","5","100.0%","2014","april"
"Durham",2,"100.0%",0,"0.0%","75","74.3%","26","25.7%","11","73.3%",4,"26.7%","30","100.0%",0,"0.0%",0,"0.0%",1,"100.0%","144","88.3%","19","11.7%","4","44.4%",5,"55.6%","43","86.0%",7,"14.0%","19","90.5%",2,"9.5%","58","81.7%",13,"18.3%","12","80.0%",3,"20.0%","66","95.7%","3","4.3%","0","-","2014","april"
"Dyfed Powys",0,"-",0,"-","63","70.8%","26","29.2%","0","0.0%",1,"100.0%","17","85.0%",3,"15.0%",2,"100.0%",0,"0.0%","56","91.8%","5","8.2%","2","66.7%",1,"33.3%","27","87.1%",4,"12.9%","76","93.8%",5,"6.2%","28","71.8%",11,"28.2%","20","100.0%",0,"0.0%","178","92.2%","15","7.8%","5","100.0%","2014","april"
"Essex",1,"100.0%",0,"0.0%","261","79.3%","68","20.7%","20","74.1%",7,"25.9%","39","76.5%",12,"23.5%",6,"75.0%",2,"25.0%","280","96.6%","10","3.4%","16","80.0%",4,"20.0%","63","80.8%",15,"19.2%","97","99.0%",1,"1.0%","79","96.3%",3,"3.7%","52","82.5%",11,"17.5%","175","89.3%","21","10.7%","20","100.0%","2014","april"
"Gloucestershire",0,"-",0,"-","41","75.9%","13","24.1%","4","80.0%",1,"20.0%","13","100.0%",0,"0.0%",0,"0.0%",1,"100.0%","68","89.5%","8","10.5%","9","81.8%",2,"18.2%","14","93.3%",1,"6.7%","22","88.0%",3,"12.0%","14","87.5%",2,"12.5%","19","76.0%",6,"24.0%","80","94.1%","5","5.9%","11","100.0%","2014","april"
